Window_Size,mu_a,sigma_a,mu_s,sigma_s,mu_e,sigma_e
50,2.427443036104646,0.14337452842807707,0.8176634368849671,0.220427223225056,4.272651443001508,0.09745048739212245
100,4.628049982321722,0.2521700719899321,1.6227961744011428,0.3276419528873521,4.324129090840089,0.06288382578510211
500,21.299321346034464,0.7688225192667416,9.41158021795327,0.7228944349324606,4.359128849036879,0.021838125160928534
1000,41.67913714219646,1.6914952446610312,19.46205333434214,1.476070617944246,4.362549267483028,0.014907835938617837
