Window_Size,Best_gamma3,Minimum_TE,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,Detection_Rate
50,4.4,202,99.71142857142713,99.9815165657733,99.09319899243879,99.5353758390391,0.008304785632720683,99.09319899243879
100,2.8,428,98.77714285714005,97.57342406875917,98.57969965622412,98.07398073929858,1.131713020963788,98.57969965622412
500,3.2,1289,81.58571428570262,65.96756152123436,97.03825586174536,78.54170134791886,26.636025388481805,97.03825586174536
1000,3.7,1178,66.34285714283818,53.83990247864533,96.92757863928534,69.22675026073769,53.25832161272702,96.92757863928534
